Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,Easter: Irish pubs lift Good Friday alcohol ban https://t.co/Jfs8mwLBqL,Fri Mar 30 05:55:35 +0000 2018,-0.1779,0.215,0.519,0.267,1
@BBCWorld,RT @BBCNewsAsia: The former Korean Air executive who was sacked and jailed for a 'nut rage' tantrum on board a plane has made a corporate c…,Fri Mar 30 05:49:39 +0000 2018,-0.8625,0.0,0.676,0.324,2
@BBCWorld,"RT @BBCNewsAsia: Brace yourselves. 

China's defunct space lab, Tiangong-1, should fall to Earth over the weekend. https://t.co/D6zHr74mUA",Fri Mar 30 05:12:28 +0000 2018,0.0,0.0,1.0,0.0,3
@BBCWorld,Korean Air 'nut rage' heiress makes management comeback https://t.co/nmrvz2wGnG,Fri Mar 30 04:51:40 +0000 2018,-0.5574,0.0,0.69,0.31,4
@BBCWorld,RT @BBCNewsAsia: Just in case you missed this epic story of how a camera lost at sea for more than two years was discovered on a Taiwan bea…,Fri Mar 30 04:44:59 +0000 2018,-0.5423,0.0,0.842,0.158,5
@BBCWorld,"RT @BBCNewsAsia: ⚡️ “Camera lost at sea for over two years found and returned to owner”

https://t.co/V9moYw1ehI",Fri Mar 30 04:42:27 +0000 2018,-0.3182,0.0,0.874,0.126,6
@BBCWorld,Cathay Pacific ends skirts-only rule for female staff https://t.co/3PTcts8skV,Fri Mar 30 04:42:04 +0000 2018,0.0,0.0,1.0,0.0,7
@BBCWorld,Shelling 'kills Palestinian' in Gaza https://t.co/waX7SlXTUt,Fri Mar 30 04:28:03 +0000 2018,-0.5423,0.0,0.588,0.412,8
@BBCWorld,"RT @BBCBreaking: Israeli shelling reportedly kills a Palestinian in Gaza, where tension is high ahead of a protest along the border https:/…",Fri Mar 30 04:25:00 +0000 2018,-0.7783,0.0,0.685,0.315,9
@BBCWorld,"RT @BBCNewsAsia: Even in no man's land, Rohingya children know how to play and have fun. https://t.co/CEHN7XNEHS",Fri Mar 30 03:27:13 +0000 2018,0.5423,0.26,0.639,0.1,10
@BBCWorld,"RT @BBCNewsAsia: A strong magnitude 6.9 earthquake has struck off the cost of Papua New Guinea's New Britain island, the US Geological Surv…",Fri Mar 30 02:37:02 +0000 2018,0.3182,0.13,0.791,0.079,11
@BBCWorld,El Salvador's shackled deportees become friends in adversity https://t.co/30m9g4A9mA,Fri Mar 30 02:24:13 +0000 2018,0.0772,0.24,0.543,0.217,12
@BBCWorld,Africa's week in pictures: 23-29 March 2018 https://t.co/OaN91YnM2C,Fri Mar 30 02:21:14 +0000 2018,0.0,0.0,1.0,0.0,13
@BBCWorld,Russian spy: How big is the Kremlin's diplomatic network? https://t.co/8Ys9Klw0KP,Fri Mar 30 02:13:57 +0000 2018,0.0,0.0,1.0,0.0,14
@BBCWorld,Syria war: France offers to mediate between Turkey and Kurds https://t.co/PW3KxVlsaf,Fri Mar 30 01:58:17 +0000 2018,-0.5994,0.0,0.719,0.281,15
@BBCWorld,Volkswagen's car 'graveyard' in California https://t.co/WPqjrzIAV3,Fri Mar 30 00:51:51 +0000 2018,0.0,0.0,1.0,0.0,16
@BBCWorld,Myanmar's Rohingya stuck in Bangladesh's 'no man's land' https://t.co/2i5yVG0nxC,Fri Mar 30 00:36:26 +0000 2018,-0.4939,0.0,0.625,0.375,17
@BBCWorld,"Obituary: Johan van Hulst, the teacher who saved Jewish children https://t.co/Rme8DazkLW",Fri Mar 30 00:16:45 +0000 2018,0.4215,0.219,0.781,0.0,18
@BBCWorld,The teenager sentenced to 241 years in prison https://t.co/Hpr3KNH6AQ,Fri Mar 30 00:14:10 +0000 2018,-0.5267,0.0,0.614,0.386,19
@BBCWorld,Colorado senator explains white privilege to colleagues https://t.co/9mL32lOf1d,Fri Mar 30 00:03:14 +0000 2018,0.3612,0.263,0.737,0.0,20
@BBCWorld,Easter: Irish pubs lift Good Friday alcohol ban https://t.co/Jfs8mwLBqL,Fri Mar 30 05:55:35 +0000 2018,-0.1779,0.215,0.519,0.267,21
@BBCWorld,RT @BBCNewsAsia: The former Korean Air executive who was sacked and jailed for a 'nut rage' tantrum on board a plane has made a corporate c…,Fri Mar 30 05:49:39 +0000 2018,-0.8625,0.0,0.676,0.324,22
@BBCWorld,"RT @BBCNewsAsia: Brace yourselves. 

China's defunct space lab, Tiangong-1, should fall to Earth over the weekend. https://t.co/D6zHr74mUA",Fri Mar 30 05:12:28 +0000 2018,0.0,0.0,1.0,0.0,23
@BBCWorld,Korean Air 'nut rage' heiress makes management comeback https://t.co/nmrvz2wGnG,Fri Mar 30 04:51:40 +0000 2018,-0.5574,0.0,0.69,0.31,24
@BBCWorld,RT @BBCNewsAsia: Just in case you missed this epic story of how a camera lost at sea for more than two years was discovered on a Taiwan bea…,Fri Mar 30 04:44:59 +0000 2018,-0.5423,0.0,0.842,0.158,25
@BBCWorld,"RT @BBCNewsAsia: ⚡️ “Camera lost at sea for over two years found and returned to owner”

https://t.co/V9moYw1ehI",Fri Mar 30 04:42:27 +0000 2018,-0.3182,0.0,0.874,0.126,26
@BBCWorld,Cathay Pacific ends skirts-only rule for female staff https://t.co/3PTcts8skV,Fri Mar 30 04:42:04 +0000 2018,0.0,0.0,1.0,0.0,27
@BBCWorld,Shelling 'kills Palestinian' in Gaza https://t.co/waX7SlXTUt,Fri Mar 30 04:28:03 +0000 2018,-0.5423,0.0,0.588,0.412,28
@BBCWorld,"RT @BBCBreaking: Israeli shelling reportedly kills a Palestinian in Gaza, where tension is high ahead of a protest along the border https:/…",Fri Mar 30 04:25:00 +0000 2018,-0.7783,0.0,0.685,0.315,29
@BBCWorld,"RT @BBCNewsAsia: Even in no man's land, Rohingya children know how to play and have fun. https://t.co/CEHN7XNEHS",Fri Mar 30 03:27:13 +0000 2018,0.5423,0.26,0.639,0.1,30
@BBCWorld,"RT @BBCNewsAsia: A strong magnitude 6.9 earthquake has struck off the cost of Papua New Guinea's New Britain island, the US Geological Surv…",Fri Mar 30 02:37:02 +0000 2018,0.3182,0.13,0.791,0.079,31
@BBCWorld,El Salvador's shackled deportees become friends in adversity https://t.co/30m9g4A9mA,Fri Mar 30 02:24:13 +0000 2018,0.0772,0.24,0.543,0.217,32
@BBCWorld,Africa's week in pictures: 23-29 March 2018 https://t.co/OaN91YnM2C,Fri Mar 30 02:21:14 +0000 2018,0.0,0.0,1.0,0.0,33
@BBCWorld,Russian spy: How big is the Kremlin's diplomatic network? https://t.co/8Ys9Klw0KP,Fri Mar 30 02:13:57 +0000 2018,0.0,0.0,1.0,0.0,34
@BBCWorld,Syria war: France offers to mediate between Turkey and Kurds https://t.co/PW3KxVlsaf,Fri Mar 30 01:58:17 +0000 2018,-0.5994,0.0,0.719,0.281,35
@BBCWorld,Volkswagen's car 'graveyard' in California https://t.co/WPqjrzIAV3,Fri Mar 30 00:51:51 +0000 2018,0.0,0.0,1.0,0.0,36
@BBCWorld,Myanmar's Rohingya stuck in Bangladesh's 'no man's land' https://t.co/2i5yVG0nxC,Fri Mar 30 00:36:26 +0000 2018,-0.4939,0.0,0.625,0.375,37
@BBCWorld,"Obituary: Johan van Hulst, the teacher who saved Jewish children https://t.co/Rme8DazkLW",Fri Mar 30 00:16:45 +0000 2018,0.4215,0.219,0.781,0.0,38
@BBCWorld,The teenager sentenced to 241 years in prison https://t.co/Hpr3KNH6AQ,Fri Mar 30 00:14:10 +0000 2018,-0.5267,0.0,0.614,0.386,39
@BBCWorld,Colorado senator explains white privilege to colleagues https://t.co/9mL32lOf1d,Fri Mar 30 00:03:14 +0000 2018,0.3612,0.263,0.737,0.0,40
@BBCWorld,Turning bread into beer to fight food waste https://t.co/4G2RZnHwF8,Thu Mar 29 23:19:50 +0000 2018,-0.6597,0.0,0.565,0.435,41
@BBCWorld,Alligator 'gender reveal party' causes controversy https://t.co/J9kwaxTEOK,Thu Mar 29 23:14:54 +0000 2018,0.4019,0.31,0.69,0.0,42
@BBCWorld,Lagos street dancers go viral after Rihanna retweet https://t.co/aHBRNRbpcg,Thu Mar 29 23:12:30 +0000 2018,0.0,0.0,1.0,0.0,43
@BBCWorld,Industry ferment: US wine industry crushed over tariffs https://t.co/QtTsyGqNMl,Thu Mar 29 23:12:30 +0000 2018,-0.4215,0.0,0.741,0.259,44
@BBCWorld,Papua New Guinea earthquake: Strong shallow tremor off New Britain island https://t.co/tscosDL1ES,Thu Mar 29 22:52:55 +0000 2018,0.5106,0.231,0.769,0.0,45
@BBCWorld,Mattis to Bolton: I hear you're the devil incarnate https://t.co/737dq2WcQH,Thu Mar 29 22:28:37 +0000 2018,-0.6597,0.0,0.645,0.355,46
@BBCWorld,Stormy Daniels loses bid for early Trump testimony on her sex claims https://t.co/6v6irGxYrC,Thu Mar 29 21:15:29 +0000 2018,-0.3182,0.0,0.839,0.161,47
@BBCWorld,"RT @bbcweather: For those of you travelling further afield this #Easter, here's a quick look at the weather around the world: https://t.co/…",Thu Mar 29 20:25:09 +0000 2018,0.0,0.0,1.0,0.0,48
@BBCWorld,Pope Francis gives ride to boy with Down's syndrome https://t.co/hlvzAGnnve,Thu Mar 29 17:27:27 +0000 2018,0.0,0.0,1.0,0.0,49
@BBCWorld,Russia expels US diplomats in tit for tat https://t.co/ZKMl3MEddK,Thu Mar 29 17:23:17 +0000 2018,-0.3818,0.0,0.755,0.245,50
@BBCWorld,RT @BBCBreaking: Russia expels 60 US diplomats and closes St Petersburg consulate in response to American action over spy poisoning https:/…,Thu Mar 29 17:15:53 +0000 2018,-0.7506,0.0,0.748,0.252,51
@BBCWorld,Gunmen 'abduct mayor of Tripoli Abdelraouf Beitelmal' https://t.co/6B8jXtf4mC,Thu Mar 29 17:00:27 +0000 2018,0.0,0.0,1.0,0.0,52
@BBCWorld,Australia coach quits over cheating scandal https://t.co/APT3d1JVtX,Thu Mar 29 16:17:23 +0000 2018,-0.7579,0.0,0.435,0.565,53
@BBCWorld,Uganda newspaper's 'wine for abuse stories' contest angers readers https://t.co/CMLNvGjbeQ,Thu Mar 29 15:59:30 +0000 2018,-0.8176,0.0,0.516,0.484,54
@BBCWorld,China singer denied bank account because he’s blind https://t.co/lVVelEOCVk,Thu Mar 29 15:59:30 +0000 2018,-0.6808,0.0,0.556,0.444,55
@BBCWorld,Trèbes attack: Vegan activist in court over butcher post https://t.co/Hes8CiFL1N,Thu Mar 29 15:59:30 +0000 2018,-0.4767,0.0,0.744,0.256,56
@BBCWorld,Russian spy: Yulia Skripal 'improving rapidly' https://t.co/Feql7s95Zj,Thu Mar 29 14:47:45 +0000 2018,0.4215,0.318,0.682,0.0,57
@BBCWorld,"RT @BBCSport: PAOK Salonika's president Ivan Savvidis has been banned for three years for coming onto the pitch with a gun.

More: https://…",Thu Mar 29 14:47:09 +0000 2018,-0.6597,0.0,0.787,0.213,58
@BBCWorld,Sarkozy 'to face corruption trial' https://t.co/QV5HTYmsWU,Thu Mar 29 14:40:01 +0000 2018,0.0,0.0,1.0,0.0,59
@BBCWorld,Trump calls to congratulate TV's Roseanne https://t.co/ipNJ1KMrgk,Thu Mar 29 14:40:01 +0000 2018,0.4939,0.348,0.652,0.0,60
@BBCWorld,"Australian ball-tampering: Steve Smith, David Warner and Cameron Bancroft apologise https://t.co/AcGybzckwZ",Thu Mar 29 14:19:11 +0000 2018,0.3818,0.206,0.794,0.0,61
@BBCWorld,Trump attacks Amazon for paying 'little or no taxes' https://t.co/rTHNIRQp00,Thu Mar 29 14:19:10 +0000 2018,-0.4804,0.126,0.518,0.357,62
@BBCWorld,VW to buy back cars hit by German city diesel bans https://t.co/zSEHoTyU7E,Thu Mar 29 14:19:10 +0000 2018,0.0,0.0,1.0,0.0,63
@BBCWorld,Barclays pays $2bn to settle US fraud case https://t.co/OYF3mPgN9q,Thu Mar 29 14:19:10 +0000 2018,-0.5859,0.0,0.678,0.322,64
@BBCWorld,"RT @BBCtrending: A heartfelt outcry. But is it ""trial by social media""? The story behind #IBelieveHer https://t.co/6aVhzw5oYF",Thu Mar 29 13:41:21 +0000 2018,0.0516,0.168,0.673,0.159,65
@BBCWorld,PAOK Salonika: Gun incident sees Greek club's president banned https://t.co/m9eiwanNd9,Thu Mar 29 13:25:32 +0000 2018,-0.6597,0.0,0.597,0.403,66
@BBCWorld,California car cliff plunge kills US family https://t.co/vXhDe84pvJ,Thu Mar 29 13:20:12 +0000 2018,-0.5423,0.0,0.667,0.333,67
@BBCWorld,David Shulkin: Sacked secretary in parting shot at Trump https://t.co/Teh6jVB7GQ,Thu Mar 29 13:02:23 +0000 2018,0.0,0.0,1.0,0.0,68
@BBCWorld,When a cheetah interrupts your safari (don't look around) 👀 https://t.co/T9cOUdpCl6,Thu Mar 29 12:45:48 +0000 2018,-0.3182,0.0,0.777,0.223,69
@BBCWorld,Up close: The moment a cheetah joined a safari https://t.co/BWbPBFTVdI,Thu Mar 29 11:57:27 +0000 2018,0.0,0.0,1.0,0.0,70
@BBCWorld,Germany migrants: Plans to keep asylum seekers in 'anchor centres' https://t.co/Pf1cCXBQth,Thu Mar 29 11:37:46 +0000 2018,0.0,0.0,1.0,0.0,71
@BBCWorld,Police use tear gas to disperse crowds desperate for news of loved ones after at least 68 people died in fire at po… https://t.co/9eIMe3tUlR,Thu Mar 29 11:14:05 +0000 2018,-0.5267,0.121,0.621,0.258,72
@BBCWorld,RT @BBCBreaking: French police arrest man in Grenoble after group of soldiers were almost hit by a car while jogging near their barracks ht…,Thu Mar 29 11:01:45 +0000 2018,-0.34,0.0,0.902,0.098,73
@BBCWorld,Czechs consider national anthem update https://t.co/NDfnoewnK5,Thu Mar 29 10:52:18 +0000 2018,0.0,0.0,1.0,0.0,74
@BBCWorld,"Owner reunited with camera lost at sea for two years (It still works by the way)

https://t.co/DKd10DtuwL https://t.co/McyZjxgtgB",Thu Mar 29 10:41:12 +0000 2018,-0.3182,0.0,0.881,0.119,75
@BBCWorld,Thai beach from Leonardo DiCaprio film to close temporarily https://t.co/u3V69MIxHY,Thu Mar 29 09:59:23 +0000 2018,0.0,0.0,1.0,0.0,76
@BBCWorld,"RT @BBCNews: Balls, cherries or cakes.
 
What's the biggest #Brexit cliché of all? 

https://t.co/W77gVN8RvN https://t.co/KLIpCV1JVA",Thu Mar 29 09:35:03 +0000 2018,0.0,0.0,1.0,0.0,77
@BBCWorld,'Fake' India journalists held in Australia over human trafficking https://t.co/2dupZZwWAH,Thu Mar 29 09:29:39 +0000 2018,0.0,0.0,1.0,0.0,78
@BBCWorld,Sean Penn's debut novel is trashed by critics https://t.co/HnWQ1aTAFO,Thu Mar 29 09:22:15 +0000 2018,0.0258,0.2,0.609,0.191,79
@BBCWorld,"""I'll do everything I can to make up for my mistake and the damage it's caused."" 

Suspended Australian cricket cap… https://t.co/hqG3GDUQtE",Thu Mar 29 09:13:22 +0000 2018,-0.8271,0.0,0.661,0.339,80
@BBCWorld,"RT @bbctms: Steve Smith gives emotional media conference at Sydney airport.

Refuses to put blame onto David Warner or others. 

""I don't b…",Thu Mar 29 09:05:37 +0000 2018,-0.2023,0.064,0.84,0.096,81
@BBCWorld,Egypt election: Sisi 'set to win second term as president' https://t.co/9zH6odwbmB,Thu Mar 29 08:50:42 +0000 2018,0.5859,0.275,0.725,0.0,82
@BBCWorld,Driver tries to ram group of French soldiers https://t.co/x73x6EWoHl,Thu Mar 29 08:27:29 +0000 2018,0.0,0.0,1.0,0.0,83
@BBCWorld,The incredible journey of a camera lost at sea https://t.co/3gPwsj2rWW,Thu Mar 29 08:20:39 +0000 2018,-0.3182,0.0,0.777,0.223,84
@BBCWorld,Islamic State and the kidnap of Nigerian schoolgirls from Dapchi https://t.co/vVh2YGwAhN,Thu Mar 29 08:17:00 +0000 2018,0.0,0.0,1.0,0.0,85
@BBCWorld,"RT @BBCNewsAsia: In an extraordinary tale of luck and coincidence, a camera lost at sea for more than two years was discovered and will be…",Thu Mar 29 07:55:09 +0000 2018,0.1779,0.11,0.806,0.084,86
@BBCWorld,North and South Korea set date for leaders' summit https://t.co/pNYhUJQ2kr,Thu Mar 29 07:51:49 +0000 2018,0.0,0.0,1.0,0.0,87
@BBCWorld,RT @BBCMaryam: Today on #BBCBizLive we want to know .. what’s the most you have spent on an Easter egg ? How much is too much ? 0830BST @BB…,Thu Mar 29 06:20:07 +0000 2018,0.168,0.06,0.94,0.0,88
@BBCWorld,RT @SallyBundockBBC: #Lent ends today - did you give something up? Is it a good period of reflection? Share your story #BBCTheBriefing - se…,Thu Mar 29 03:07:47 +0000 2018,0.6662,0.223,0.777,0.0,89
@BBCWorld,Trump loses bid to dismiss hotel lawsuit https://t.co/zYc4ZvNpu9,Thu Mar 29 02:20:41 +0000 2018,-0.4939,0.0,0.588,0.412,90
@BBCWorld,Carabobo fire: Scores feared dead in Venezuela police station cells https://t.co/zcYtmKFpqM,Thu Mar 29 02:13:36 +0000 2018,-0.872,0.0,0.447,0.553,91
@BBCWorld,NFL cheerleader claims she was fired over Instagram photo https://t.co/40Fv3xINHw,Thu Mar 29 01:32:53 +0000 2018,-0.4019,0.141,0.593,0.267,92
@BBCWorld,"'I felt dead', kidnap survivor Amanda Lindhout tells court https://t.co/NznECdfAAz",Thu Mar 29 01:03:17 +0000 2018,0.3612,0.217,0.783,0.0,93
@BBCWorld,'Lost' film predicting rise of Nazism returns to screen https://t.co/Bbql2v7fel,Thu Mar 29 00:15:16 +0000 2018,0.0,0.0,1.0,0.0,94
@BBCWorld,Does Justin Trudeau apologise too much? https://t.co/eOnyBSRlXA,Thu Mar 29 00:15:14 +0000 2018,0.3818,0.302,0.698,0.0,95
@BBCWorld,Cycling the length of the Dakota Access pipeline https://t.co/7IfdnlMQuh,Thu Mar 29 00:03:00 +0000 2018,0.0,0.0,1.0,0.0,96
@BBCWorld,Carnival Cruise offers teen free trip for Snapchat handle https://t.co/95YpLMcz9w,Wed Mar 28 23:48:28 +0000 2018,0.5106,0.268,0.732,0.0,97
@BBCWorld,Inxeba wins South Africa film award despite ban attempt https://t.co/052nWUIMQj,Wed Mar 28 23:32:23 +0000 2018,0.8786,0.591,0.409,0.0,98
@BBCWorld,Miguna Miguna : Kenya opposition figure deported again https://t.co/A55w4tOrBP,Wed Mar 28 22:56:04 +0000 2018,0.0,0.0,1.0,0.0,99
@BBCWorld,Malala returns to Pakistan after six years https://t.co/OqkO30wMcZ,Wed Mar 28 22:33:26 +0000 2018,0.0,0.0,1.0,0.0,100
@CBSNews,"Terry J. Albury, former FBI agent in Minneapolis, accused of leaking files to media https://t.co/TPMinimLwR https://t.co/UAuh5WYTMz",Fri Mar 30 07:03:04 +0000 2018,-0.296,0.0,0.872,0.128,1
@CBSNews,"Defense Sec. Mattis jokes that he heard Bolton is ""devil incarnate"" at first meeting https://t.co/E66wHtfR7F https://t.co/pUQ5g3an7d",Fri Mar 30 06:48:03 +0000 2018,-0.4404,0.167,0.622,0.211,2
@CBSNews,U.S. to seek social media usernames and details from all visa applicants https://t.co/mRZdIN8zqX https://t.co/uedjqVxCAO,Fri Mar 30 06:33:04 +0000 2018,0.0,0.0,1.0,0.0,3
@CBSNews,"5 ways the ""Roseanne"" reboot embraces modern America https://t.co/lk8TAJ66Zk https://t.co/kscIB5715b",Fri Mar 30 06:18:04 +0000 2018,0.0,0.0,1.0,0.0,4
@CBSNews,Royal wedding countdown: Time for personal touches on Prince Harry and Meghan Markle's nuptials… https://t.co/zdNg2AbX9U,Fri Mar 30 06:03:03 +0000 2018,0.0,0.0,1.0,0.0,5
@CBSNews,"Adnan Syed case: Appeals court grants new trial in ""Serial"" case https://t.co/6tuEtb3tQt https://t.co/UErtvOD4zJ",Fri Mar 30 05:48:03 +0000 2018,0.2263,0.137,0.863,0.0,6
@CBSNews,"Deaths linked to a common paint stripper chemical go back decades, so why isn't it banned? https://t.co/fXSshEps2D https://t.co/s5xwstTRPu",Fri Mar 30 05:33:04 +0000 2018,0.357,0.134,0.866,0.0,7
@CBSNews,Massachusetts woman files lawsuit accusing tenant of shooting porn in her home https://t.co/XMc8zDhmx9 https://t.co/LiERD63OAD,Fri Mar 30 05:18:04 +0000 2018,-0.3818,0.0,0.769,0.231,8
@CBSNews,Drag racer killed in 100-mph crash at Sonoma Raceway in California https://t.co/cEXMEAPquU https://t.co/aWWk0MV20v,Fri Mar 30 05:03:04 +0000 2018,-0.8442,0.0,0.524,0.476,9
@CBSNews,Trump threatens to hold up South Korea trade agreement until North Korea talks https://t.co/pR3oqANNlb https://t.co/q7fyj7PRmD,Fri Mar 30 04:48:03 +0000 2018,0.1531,0.17,0.691,0.138,10
@CBSNews,Mom shifted blame for deaths of children found in car seats https://t.co/N8ZEOslDFS https://t.co/5SpyM1DYF0,Fri Mar 30 04:38:18 +0000 2018,-0.34,0.0,0.833,0.167,11
@CBSNews,"Off-duty officer shot in Kentucky, suspect on the run, mayor says https://t.co/WT5ioYU600 https://t.co/ztNjW4NRgM",Fri Mar 30 04:30:12 +0000 2018,-0.296,0.0,0.845,0.155,12
@CBSNews,ICE ends automatic release of most pregnant detainees https://t.co/wzMGoFmyH9 https://t.co/UVA2BeXtKO,Fri Mar 30 04:24:05 +0000 2018,0.0,0.0,1.0,0.0,13
@CBSNews,Youth from famed photo believed among dead as SUV flies off cliff https://t.co/eLmkkaEdxk https://t.co/nwtd6DTtVs,Fri Mar 30 04:18:03 +0000 2018,-0.6486,0.0,0.751,0.249,14
@CBSNews,Father who left toddler son to die after crash guilty of murder https://t.co/8BmYUNBvH1 https://t.co/QdzTckOePh,Fri Mar 30 04:03:05 +0000 2018,-0.9337,0.0,0.415,0.585,15
@CBSNews,Neighbors say they reported parents before deadly plunge off California cliff https://t.co/g80IallJEP https://t.co/ZuDB1N9Iok,Fri Mar 30 03:48:03 +0000 2018,0.0,0.0,1.0,0.0,16
@CBSNews,Laura Ingraham's advertisers distance themselves after David Hogg comments https://t.co/XwoeLUtDEX https://t.co/OY1VA13vFx,Fri Mar 30 03:39:23 +0000 2018,0.0,0.0,1.0,0.0,17
@CBSNews,Delta landing gear catches fire shortly after landing in Atlanta https://t.co/ZJLmFH7rCm https://t.co/LU7DZVtY8K,Fri Mar 30 03:32:06 +0000 2018,-0.34,0.0,0.821,0.179,18
@CBSNews,Does the post office lose money on Amazon? https://t.co/vVTgJU5pGf https://t.co/RF3YoFJ9WQ,Fri Mar 30 03:18:03 +0000 2018,-0.25,0.137,0.645,0.218,19
@CBSNews,2016 Facebook memo suggests company values growth over user safety https://t.co/5t60sX0Lew https://t.co/zqJj6hGh5k,Fri Mar 30 03:10:04 +0000 2018,0.7964,0.474,0.526,0.0,20
@CBSNews,"Terry J. Albury, former FBI agent in Minneapolis, accused of leaking files to media https://t.co/TPMinimLwR https://t.co/UAuh5WYTMz",Fri Mar 30 07:03:04 +0000 2018,-0.296,0.0,0.872,0.128,21
@CBSNews,"Defense Sec. Mattis jokes that he heard Bolton is ""devil incarnate"" at first meeting https://t.co/E66wHtfR7F https://t.co/pUQ5g3an7d",Fri Mar 30 06:48:03 +0000 2018,-0.4404,0.167,0.622,0.211,22
@CBSNews,U.S. to seek social media usernames and details from all visa applicants https://t.co/mRZdIN8zqX https://t.co/uedjqVxCAO,Fri Mar 30 06:33:04 +0000 2018,0.0,0.0,1.0,0.0,23
@CBSNews,"5 ways the ""Roseanne"" reboot embraces modern America https://t.co/lk8TAJ66Zk https://t.co/kscIB5715b",Fri Mar 30 06:18:04 +0000 2018,0.0,0.0,1.0,0.0,24
@CBSNews,Royal wedding countdown: Time for personal touches on Prince Harry and Meghan Markle's nuptials… https://t.co/zdNg2AbX9U,Fri Mar 30 06:03:03 +0000 2018,0.0,0.0,1.0,0.0,25
@CBSNews,"Adnan Syed case: Appeals court grants new trial in ""Serial"" case https://t.co/6tuEtb3tQt https://t.co/UErtvOD4zJ",Fri Mar 30 05:48:03 +0000 2018,0.2263,0.137,0.863,0.0,26
@CBSNews,"Deaths linked to a common paint stripper chemical go back decades, so why isn't it banned? https://t.co/fXSshEps2D https://t.co/s5xwstTRPu",Fri Mar 30 05:33:04 +0000 2018,0.357,0.134,0.866,0.0,27
@CBSNews,Massachusetts woman files lawsuit accusing tenant of shooting porn in her home https://t.co/XMc8zDhmx9 https://t.co/LiERD63OAD,Fri Mar 30 05:18:04 +0000 2018,-0.3818,0.0,0.769,0.231,28
@CBSNews,Drag racer killed in 100-mph crash at Sonoma Raceway in California https://t.co/cEXMEAPquU https://t.co/aWWk0MV20v,Fri Mar 30 05:03:04 +0000 2018,-0.8442,0.0,0.524,0.476,29
@CBSNews,Trump threatens to hold up South Korea trade agreement until North Korea talks https://t.co/pR3oqANNlb https://t.co/q7fyj7PRmD,Fri Mar 30 04:48:03 +0000 2018,0.1531,0.17,0.691,0.138,30
@CBSNews,Mom shifted blame for deaths of children found in car seats https://t.co/N8ZEOslDFS https://t.co/5SpyM1DYF0,Fri Mar 30 04:38:18 +0000 2018,-0.34,0.0,0.833,0.167,31
@CBSNews,"Off-duty officer shot in Kentucky, suspect on the run, mayor says https://t.co/WT5ioYU600 https://t.co/ztNjW4NRgM",Fri Mar 30 04:30:12 +0000 2018,-0.296,0.0,0.845,0.155,32
@CBSNews,ICE ends automatic release of most pregnant detainees https://t.co/wzMGoFmyH9 https://t.co/UVA2BeXtKO,Fri Mar 30 04:24:05 +0000 2018,0.0,0.0,1.0,0.0,33
@CBSNews,Youth from famed photo believed among dead as SUV flies off cliff https://t.co/eLmkkaEdxk https://t.co/nwtd6DTtVs,Fri Mar 30 04:18:03 +0000 2018,-0.6486,0.0,0.751,0.249,34
@CBSNews,Father who left toddler son to die after crash guilty of murder https://t.co/8BmYUNBvH1 https://t.co/QdzTckOePh,Fri Mar 30 04:03:05 +0000 2018,-0.9337,0.0,0.415,0.585,35
@CBSNews,Neighbors say they reported parents before deadly plunge off California cliff https://t.co/g80IallJEP https://t.co/ZuDB1N9Iok,Fri Mar 30 03:48:03 +0000 2018,0.0,0.0,1.0,0.0,36
@CBSNews,Laura Ingraham's advertisers distance themselves after David Hogg comments https://t.co/XwoeLUtDEX https://t.co/OY1VA13vFx,Fri Mar 30 03:39:23 +0000 2018,0.0,0.0,1.0,0.0,37
@CBSNews,Delta landing gear catches fire shortly after landing in Atlanta https://t.co/ZJLmFH7rCm https://t.co/LU7DZVtY8K,Fri Mar 30 03:32:06 +0000 2018,-0.34,0.0,0.821,0.179,38
@CBSNews,Does the post office lose money on Amazon? https://t.co/vVTgJU5pGf https://t.co/RF3YoFJ9WQ,Fri Mar 30 03:18:03 +0000 2018,-0.25,0.137,0.645,0.218,39
@CBSNews,2016 Facebook memo suggests company values growth over user safety https://t.co/5t60sX0Lew https://t.co/zqJj6hGh5k,Fri Mar 30 03:10:04 +0000 2018,0.7964,0.474,0.526,0.0,40
@CBSNews,"""Don't make me go back"": Troubling allegations emerge after family's SUV cliff plunge https://t.co/CvFTYkmpoG https://t.co/LEgqSDBdzt",Fri Mar 30 03:03:04 +0000 2018,-0.5423,0.0,0.8,0.2,41
